,Headline,Date,Time,link,Publisher
37,Bolsonaro eyes return to Brazil as US stay pressures Biden,2023-01-10,20:05:00,https://news.google.com/./articles/CBMic2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2phaXItYm9sc29uYXJvLXBvbGl0aWNzLXVuaXRlZC1zdGF0ZXMtZ292ZXJubWVudC1icmF6aWwtNWQ1ZjBmYjcwM2RkYzdkZTI5ZmRhZDkzYTAxNDk0MzXSAQA?hl=en-US&gl=US&ceid=US%3Aen,The Associated Press
38,"Moraes orders arrest of police commanders Torres, Augusto in Brazil riot",2023-01-11,03:57:00,https://news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDIzLzAxLzEwL2JyYXNpbGlhLXBvbGljZS1yaW90LWFycmVzdHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
39,The US should extradite Bolsonaro from Florida back to Brazil | Letters,2023-01-11,10:01:47,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnRhbXBhYmF5LmNvbS9vcGluaW9uLzIwMjMvMDEvMTEvdXMtc2hvdWxkLWV4dHJhZGl0ZS1ib2xzb25hcm8tZmxvcmlkYS1iYWNrLWJyYXppbC1sZXR0ZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Tampa Bay Times
40,Trump executive Allen Weisselberg gets 5-month jail sentence,2023-01-11,16:00:36,https://news.google.com/./articles/CBMiemh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3BvbGl0aWNzLWRvbmFsZC10cnVtcC1sZWdhbC1wcm9jZWVkaW5ncy1uZXcteW9yay1jaXR5LWJ1c2luZXNzLWFkNGNmYmM3MWJiNjk2YjlhM2ZhNjM0M2RlMzkzNjEz0gEA?hl=en-US&gl=US&ceid=US%3Aen,The Associated Press
41,"Allen Weisselberg, former Trump Org. CFO, sentenced to 5 months in jail",2023-01-10,21:59:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMC9wb2xpdGljcy9hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jaW5nLXRydW1wLW9yZ2FuaXphdGlvbi9pbmRleC5odG1s0gFmaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wMS8xMC9wb2xpdGljcy9hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jaW5nLXRydW1wLW9yZ2FuaXphdGlvbi9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,CNN
42,Longtime Trump Oraganization CFO sentenced,2023-01-10,18:44:20,https://news.google.com/./articles/CCAiC1lnMlBlbG5UbTNBmAEB?hl=en-US&gl=US&ceid=US%3Aen,Eyewitness News ABC7NY
43,"Allen Weisselberg, Ex-Trump Executive, Sentenced to 5 Months in Jail",2023-01-10,19:42:01,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTAvbnlyZWdpb24vdHJ1bXAtZmluYW5jZS1jaGllZi1hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jZWQuaHRtbNIBZGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTAvbnlyZWdpb24vdHJ1bXAtZmluYW5jZS1jaGllZi1hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jZWQuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,The New York Times
44,"Idaho murders: Veteran defense attorney lays out case Bryan Kohberger team could make, 'holes' in affidavit",2023-01-11,16:10:00,https://news.google.com/./articles/CBMiggFodHRwczovL3d3dy5mb3huZXdzLmNvbS91cy9pZGFoby1tdXJkZXJzLXZldGVyYW4tZGVmZW5zZS1hdHRvcm5leS1sYXlzLW91dC1jYXNlLWJyeWFuLWtvaGJlcmdlci10ZWFtLWNvdWxkLW1ha2UtaG9sZXMtaW4tYWZmaWRhdml00gGGAWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL2lkYWhvLW11cmRlcnMtdmV0ZXJhbi1kZWZlbnNlLWF0dG9ybmV5LWxheXMtb3V0LWNhc2UtYnJ5YW4ta29oYmVyZ2VyLXRlYW0tY291bGQtbWFrZS1ob2xlcy1pbi1hZmZpZGF2aXQuYW1w?hl=en-US&gl=US&ceid=US%3Aen,Fox News
45,"Bryan Kohberger Went on Tinder Date With Hayley Willette in 2015, She Says",2023-01-11,00:34:27,https://news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWRhaWx5YmVhc3QuY29tL2JyeWFuLWtvaGJlcmdlci13ZW50LW9uLXRpbmRlci1kYXRlLXdpdGgtaGF5bGV5LXdpbGxldHRlLWluLTIwMTUtc2hlLXNheXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,The Daily Beast
46,"Idaho murders suspect Bryan Kohberger was unknown to victims, lawyer says",2023-01-11,00:23:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL2lkYWhvLW11cmRlcnMtc3VzcGVjdC1icnlhbi1rb2hiZXJnZXItdW5rbm93bi12aWN0aW1zLWxhd3llci1zYXlz0gFgaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvaWRhaG8tbXVyZGVycy1zdXNwZWN0LWJyeWFuLWtvaGJlcmdlci11bmtub3duLXZpY3RpbXMtbGF3eWVyLXNheXMuYW1w?hl=en-US&gl=US&ceid=US%3Aen,Fox News
