,Headline,Date,Time,link,Publisher
33,"25 Investigates: Hacksaw, blood-soaked rug found in search for missing Cohasset mother Ana Walshe",2023-01-11,12:07:23,https://news.google.com/./articles/CBMinAFodHRwczovL3d3dy5ib3N0b24yNW5ld3MuY29tL25ld3MvbG9jYWwvMjUtaW52ZXN0aWdhdGVzLWhhY2tzYXctYmxvb2Qtc29ha2VkLXJ1Zy1mb3VuZC1zZWFyY2gtbWlzc2luZy1jb2hhc3NldC1tb3RoZXItYW5hLXdhbHNoZS9NV1BFT0w3RUpOQVlUR0NHWjU3Q0g1UE5ITS_SAasBaHR0cHM6Ly93d3cuYm9zdG9uMjVuZXdzLmNvbS9uZXdzL2xvY2FsLzI1LWludmVzdGlnYXRlcy1oYWNrc2F3LWJsb29kLXNvYWtlZC1ydWctZm91bmQtc2VhcmNoLW1pc3NpbmctY29oYXNzZXQtbW90aGVyLWFuYS13YWxzaGUvTVdQRU9MN0VKTkFZVEdDR1o1N0NINVBOSE0vP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen,Boston 25 News
34,Husband of missing Massachusetts woman arrested,2023-01-10,17:39:11,https://news.google.com/./articles/CCAiC05PQTlSTjJSYzBBmAEB?hl=en-US&gl=US&ceid=US%3Aen,13News Now
35,"Hatchet, hacksaw and blood found in trash facility during search for missing mother Ana Walshe, sources say",2023-01-10,21:53:23,https://news.google.com/./articles/CBMiS2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9uZXdzL2hhdGNoZXQtaGFja3Nhdy1ibG9vZC1mb3VuZC10cmFzaC0yMTUzMjMxNDUuaHRtbNIBVGh0dHBzOi8vbmV3cy55YWhvby5jb20vYW1waHRtbC9uZXdzL2hhdGNoZXQtaGFja3Nhdy1ibG9vZC1mb3VuZC10cmFzaC0yMTUzMjMxNDUuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,Yahoo! Voices
36,‘Lacks basic empathy’: Art scam victim of Brian Walshe speaks about his character,2023-01-10,23:16:23,https://news.google.com/./articles/CBMijwFodHRwczovL3d3dy5ib3N0b24yNW5ld3MuY29tL25ld3MvbG9jYWwvbGFja3MtYmFzaWMtZW1wYXRoeS1hcnQtc2NhbS12aWN0aW0tYnJpYW4td2Fsc2hlLXNwZWFrcy1hYm91dC1oaXMtY2hhcmFjdGVyLzVWRUUyVzNCT0JFT0ZDSEpTQk1DVVg2V0ZNL9IBngFodHRwczovL3d3dy5ib3N0b24yNW5ld3MuY29tL25ld3MvbG9jYWwvbGFja3MtYmFzaWMtZW1wYXRoeS1hcnQtc2NhbS12aWN0aW0tYnJpYW4td2Fsc2hlLXNwZWFrcy1hYm91dC1oaXMtY2hhcmFjdGVyLzVWRUUyVzNCT0JFT0ZDSEpTQk1DVVg2V0ZNLz9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,Boston 25 News
37,California storms – live: Flash flood warning in San Francisco after Montecito and Santa Barbara evacuations,2023-01-11,18:56:11,https://news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL2NsaW1hdGUtY2hhbmdlL3NhbnRhLWJhcmJhcmEtZmxvb2Rpbmctc3Rvcm0tdHJhY2tlci1jYWxpZm9ybmlhLWxhdGVzdC1iMjI1OTk1MC5odG1s0gF1aHR0cHM6Ly93d3cuaW5kZXBlbmRlbnQuY28udWsvY2xpbWF0ZS1jaGFuZ2Uvc2FudGEtYmFyYmFyYS1mbG9vZGluZy1zdG9ybS10cmFja2VyLWNhbGlmb3JuaWEtbGF0ZXN0LWIyMjU5OTUwLmh0bWw_YW1w?hl=en-US&gl=US&ceid=US%3Aen,The Independent
38,California Sees More Devastating Weather Due To Atmospheric River,2023-01-11,16:35:36,https://news.google.com/./articles/CCAiC3c2RGVhRHBkY0VrmAEB?hl=en-US&gl=US&ceid=US%3Aen,FOX Weather
39,At least 17 dead in California from monster storms,2023-01-11,00:49:07,https://news.google.com/./articles/CCAiC3JsLUo0azJPQ2hFmAEB?hl=en-US&gl=US&ceid=US%3Aen,NBC News
40,California Storm: Evacuations Ordered as Mudslide and Flood Risks Grow,2023-01-11,11:41:21,https://news.google.com/./articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tL2xpdmUvMjAyMy8wMS8xMC91cy9jYWxpZm9ybmlhLXN0b3Jtcy1yYWluLXdlYXRoZXLSAVJodHRwczovL3d3dy5ueXRpbWVzLmNvbS9saXZlLzIwMjMvMDEvMTAvdXMvY2FsaWZvcm5pYS1zdG9ybXMtcmFpbi13ZWF0aGVyLmFtcC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,The New York Times
41,First to fall after Brasilia riots: the Bolsonarista running capital security,2023-01-11,11:43:00,https://news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FtZXJpY2FzL2ZpcnN0LWZhbGwtYWZ0ZXItYnJhc2lsaWEtcmlvdHMtYm9sc29uYXJpc3RhLXJ1bm5pbmctY2FwaXRhbC1zZWN1cml0eS0yMDIzLTAxLTExL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Reuters Canada
42,Why the Brazilian military didn't step in during the riots - BBC Newsnight,2023-01-10,20:30:01,https://news.google.com/./articles/CCAiC1FOb1RuZkNwM3ZRmAEB?hl=en-US&gl=US&ceid=US%3Aen,BBC News
43,Bolsonaro eyes return to Brazil as US stay pressures Biden,2023-01-10,20:20:32,https://news.google.com/./articles/CBMic2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2phaXItYm9sc29uYXJvLXBvbGl0aWNzLXVuaXRlZC1zdGF0ZXMtZ292ZXJubWVudC1icmF6aWwtNWQ1ZjBmYjcwM2RkYzdkZTI5ZmRhZDkzYTAxNDk0MzXSAQA?hl=en-US&gl=US&ceid=US%3Aen,The Associated Press
44,The US should extradite Bolsonaro from Florida back to Brazil | Letters,2023-01-11,10:01:47,https://news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LnRhbXBhYmF5LmNvbS9vcGluaW9uLzIwMjMvMDEvMTEvdXMtc2hvdWxkLWV4dHJhZGl0ZS1ib2xzb25hcm8tZmxvcmlkYS1iYWNrLWJyYXppbC1sZXR0ZXJzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Tampa Bay Times
45,Trump executive Allen Weisselberg gets 5-month jail sentence,2023-01-11,16:00:36,https://news.google.com/./articles/CBMiemh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3BvbGl0aWNzLWRvbmFsZC10cnVtcC1sZWdhbC1wcm9jZWVkaW5ncy1uZXcteW9yay1jaXR5LWJ1c2luZXNzLWFkNGNmYmM3MWJiNjk2YjlhM2ZhNjM0M2RlMzkzNjEz0gEA?hl=en-US&gl=US&ceid=US%3Aen,The Associated Press
46,"Allen Weisselberg, former Trump Org. CFO, sentenced to 5 months in jail",2023-01-10,21:59:00,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMC9wb2xpdGljcy9hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jaW5nLXRydW1wLW9yZ2FuaXphdGlvbi9pbmRleC5odG1s0gFmaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wMS8xMC9wb2xpdGljcy9hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jaW5nLXRydW1wLW9yZ2FuaXphdGlvbi9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,CNN
47,Longtime Trump Oraganization CFO sentenced,2023-01-10,18:44:20,https://news.google.com/./articles/CCAiC1lnMlBlbG5UbTNBmAEB?hl=en-US&gl=US&ceid=US%3Aen,Eyewitness News ABC7NY
48,"Allen Weisselberg, Ex-Trump Executive, Sentenced to 5 Months in Jail",2023-01-10,19:42:01,https://news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTAvbnlyZWdpb24vdHJ1bXAtZmluYW5jZS1jaGllZi1hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jZWQuaHRtbNIBZGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDEvMTAvbnlyZWdpb24vdHJ1bXAtZmluYW5jZS1jaGllZi1hbGxlbi13ZWlzc2VsYmVyZy1zZW50ZW5jZWQuYW1wLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,The New York Times
49,Idaho killings: Woman went on 'uncomfortable' Tinder date with suspect,2023-01-11,16:21:47,https://news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3Lmluc2lkZXIuY29tL2lkYWhvLWtpbGxpbmdzLXdvbWFuLXdlbnQtb24tdW5jb21mb3J0YWJsZS10aW5kZXItZGF0ZS13aXRoLXN1c3BlY3QtMjAyMy0x0gFmaHR0cHM6Ly93d3cuaW5zaWRlci5jb20vaWRhaG8ta2lsbGluZ3Mtd29tYW4td2VudC1vbi11bmNvbWZvcnRhYmxlLXRpbmRlci1kYXRlLXdpdGgtc3VzcGVjdC0yMDIzLTE_YW1w?hl=en-US&gl=US&ceid=US%3Aen,Insider
50,"Idaho murders suspect Bryan Kohberger was unknown to victims, lawyer says",2023-01-11,00:23:00,https://news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL2lkYWhvLW11cmRlcnMtc3VzcGVjdC1icnlhbi1rb2hiZXJnZXItdW5rbm93bi12aWN0aW1zLWxhd3llci1zYXlz0gFgaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvaWRhaG8tbXVyZGVycy1zdXNwZWN0LWJyeWFuLWtvaGJlcmdlci11bmtub3duLXZpY3RpbXMtbGF3eWVyLXNheXMuYW1w?hl=en-US&gl=US&ceid=US%3Aen,Fox News
51,Woman claims Kohberger was ‘pushy’ on date years ago,2023-01-11,02:39:15,https://news.google.com/./articles/CBMiTmh0dHBzOi8vd3d3Lm5ld3NuYXRpb25ub3cuY29tL2N1b21vLXNob3cvd29tYW4ta29oYmVyZ2VyLWRhdGUtaGF5bGV5LXdpbGxldHRlL9IBUmh0dHBzOi8vd3d3Lm5ld3NuYXRpb25ub3cuY29tL2N1b21vLXNob3cvd29tYW4ta29oYmVyZ2VyLWRhdGUtaGF5bGV5LXdpbGxldHRlL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,NewsNation Now
